FBin        FFTr             FFTi             SpectraPower
03B       0000001A         FFFFFF84         0000000000003EB4
03C       FFFFFFE9         FFFFFF76         0000000000004C75
03D       FFFFFF61         00000045         000000000000755A
03E       0000007B         00000101         0000000000013D1A
03F       00000087         FFFFFF0F         0000000000012A12
040       00000051         FFFFFF73         000000000000674A
041       FFFFFE35         00000142         000000000004CBFD
042       000001A9         FFFFFFA6         000000000002E135
043       FFFFFF78         FFFFFFD3         0000000000005029
044       FFFFFFE6         0000008E         0000000000005168
045       0000009D         FFFFFFC4         0000000000006E59
046       FFFFFE1E         FFFFFF1F         0000000000045145
047       0000012F         0000011B         0000000000029F7A
048       FFFFFFD1         FFFFFF46         0000000000008FC5
049       FFFFFFED         FFFFFFF8         00000000000001A9
04A       00000249         0000007D         00000000000575DA
04B       FFFFFCD4         FFFFFFEC         00000000000A1120
04C       0000016A         000000FB         000000000002F5FD
04D       FFFFFFAA         FFFFFEA8         000000000001EB24
04E       FFFFFF34         000000A6         0000000000010E34
04F       00000157         FFFFFF7E         0000000000020D95
050       0000003E         00000158         000000000001DD44
051       FFFFFEEF         FFFFFEB4         000000000002D1B1
052       FFFFFF63         FFFFFFBA         000000000000736D
053       00000010         00000086         0000000000004724
054       FFFFFF38         0000002B         000000000000A379
055       FFFFFF99         FFFFFF4E         000000000000A535
056       FFFFFF1A         00000140         0000000000025EA4
057       00000053         FFFFFF8C         0000000000004F79
058       FFFFFED3         FFFFFF9B         00000000000189C2
059       000000CB         FFFFFFFE         000000000000A0FD
05A       000000D8         00000085         000000000000FB59
05B       FFFFFF48         FFFFFF0B         0000000000016EB9
05C       000000AE         000000CE         0000000000011C08
05D       FFFFFFCE         00000069         00000000000034D5
05E       FFFFFF85         FFFFFE65         000000000002CEF2
05F       000000FE         000001C1         0000000000040F85
060       FFFFFF02         FFFFFF1A         000000000001CAA8
061       FFFFFFB0         FFFFFF8D         0000000000004CA9
062       FFFFFFB3         0000010C         0000000000012FB9
063       FFFFFFF1         FFFFFFCB         0000000000000BDA
064       FFFFFF91         00000061         00000000000054E2
065       000000E9         FFFFFF5C         0000000000013D21
066       FFFFFFA2         FFFFFFDF         00000000000026C5
067       00000082         00000083         000000000000850D
068       0000000C         FFFFFF6E         00000000000053D4
069       FFFFFF73         FFFFFFA2         000000000000702D
06A       FFFFFF4D         00000218         000000000004DF69
06B       0000015A         FFFFFE08         000000000005B3E4
06C       FFFFFE57         0000011B         000000000003FA6A
06D       FFFFFFD0         00000017         0000000000000B11
06E       FFFFFF72         FFFFFFDE         0000000000005348
06F       FFFFFF37         FFFFFF94         000000000000CB61
070       000000A6         FFFFFF2D         000000000001198D
071       00000091         0000014F         0000000000020882
072       00000052         FFFFFF70         0000000000006B44
073       FFFFFF77         0000013B         000000000001CCEA
074       000000BB         FFFFFDB6         000000000005C5FD
075       FFFFFF05         000001FA         000000000004DE3D
076       0000006B         FFFFFF73         0000000000007A62
077       FFFFFEED         FFFFFFCE         000000000001312D
078       FFFFFF97         00000019         0000000000002D82
079       00000163         0000007E         0000000000022A4D
07A       FFFFFE99         FFFFFF84         0000000000023381
07B       00000190         FFFFFFDB         0000000000027659
07C       FFFFFF92         000000E0         000000000000F344
07D       FFFFFECA         FFFFFE83         000000000003AE6D
07E       FFFFFFF0         00000148         000000000001A540
07F       0000014B         FFFFFF94         000000000001D989
080       FFFFFF29         00000042         000000000000C595
081       FFFFFF02         FFFFFFED         000000000000FD6D
082       000000AE         FFFFFF2F         00000000000120E5
083       FFFFFFFD         00000163         000000000001EC52
084       FFFFFF61         FFFFFF59         000000000000CFB2
085       000001E4         FFFFFF5D         000000000003FAD9
086       FFFFFFFB         000000FB         000000000000F632
087       FFFFFE3F         FFFFFFD2         0000000000031BC5
088       00000206         FFFFFFB6         0000000000042D88
089       FFFFFEB1         0000010A         000000000002CAC5
08A       0000007B         FFFFFF0D         00000000000121C2
08B       FFFFFE49         FFFFFFC3         000000000002FF5A
08C       000001DC         00000169         0000000000057221
08D       FFFFFEB8         FFFFFF21         0000000000026681
08E       00000093         FFFFFF67         000000000000AFDA
08F       00000025         00000095         0000000000005C12
090       00000034         00000140         0000000000019A90
091       FFFFFFD1         FFFFFE1A         000000000003A345
092       FFFFFF61         0000010B         000000000001793A
093       FFFFFF7A         FFFFFF20         0000000000010A24
094       FFFFFEF0         000000BB         000000000001A999
095       000001AB         FFFFFFA4         000000000002E949
096       000000AA         FFFFFFF2         00000000000071A8
097       FFFFFEC9         00000095         000000000001D08A
098       00000136         000000E9         0000000000024B75
099       00000180         FFFFFE68         000000000004CA40
09A       FFFFFFB5         00000117         000000000001460A
09B       FFFFFD60         FFFFFDD7         00000000000B8E91
09C       0000019E         000001E4         0000000000063094
09D       FFFFFFD0         FFFFFFAC         0000000000002490
09E       FFFFFF40         FFFFFFE2         0000000000009384
09F       00000070         00000043         0000000000004289
0A0       FFFFFEBD         000000D1         000000000002422A
0A1       FFFFFFEE         FFFFFEFA         0000000000010D68
0A2       00000169         00000045         0000000000020FAA
0A3       FFFFFE4A         FFFFFF30         0000000000039664
0A4       00000041         00000134         0000000000018311
0A5       00000021         FFFFFFD7         0000000000000AD2
0A6       FFFFFEEF         FFFFFF6D         000000000001778A
0A7       00000071         00000027         00000000000037D2
0A8       FFFFFFA8         00000070         0000000000004F40
0A9       FFFFFEC1         0000006C         000000000001BB11
0AA       00000002         FFFFFFFF         0000000000000005
0AB       FFFFFF69         FFFFFE3B         0000000000037AAA
0AC       FFFFFF45         0000026F         00000000000674BA
0AD       FFFFFF32         FFFFFE3D         000000000003C04D
0AE       00000062         00000096         0000000000007D68
0AF       FFFFFF12         000000C9         0000000000017B15
0B0       00000004         FFFFFF61         00000000000062D1
0B1       FFFFFF6F         00000127         000000000001A612
0B2       000000D0         FFFFFF6C         000000000000FE90
0B3       FFFFFEA4         FFFFFF41         0000000000026791
0B4       FFFFFF5C         0000016E         0000000000027454
0B5       000000DD         FFFFFEFB         000000000001C8E2
0B6       FFFFFEBC         000000BB         00000000000222A9
0B7       FFFFFF81         0000001D         000000000000424A
0B8       FFFFFFED         00000149         000000000001A83A
0B9       0000007E         FFFFFE3B         0000000000035F9D
0BA       0000003B         00000127         000000000001618A
0BB       FFFFFE93         FFFFFF3E         0000000000029B6D
0BC       FFFFFE96         000001F3         000000000005CC8D
0BD       00000193         FFFFFF44         0000000000030479
0BE       FFFFFED9         0000000F         00000000000154D2
0BF       FFFFFE9F         00000089         0000000000023012
0C0       FFFFFF65         00000055         0000000000007A12
0C1       000000C8         00000159         0000000000026D31
0C2       FFFFFCE7         FFFFFEA5         00000000000B6ECA
0C3       000000D6         0000023A         000000000005A808
0C4       FFFFFFA0         00000093         0000000000007869
0C5       FFFFFEF7         00000072         0000000000014515
0C6       FFFFFE75         0000011A         000000000003981D
0C7       FFFFFE62         000001C6         000000000005C2A8
0C8       00000056         00000145         000000000001B97D
0C9       FFFFFD44         000001C7         00000000000AA2C1
0CA       FFFFFEF8         0000027E         0000000000074644
0CB       FFFFFDE6         000003DC         0000000000134FB4
0CC       FFFFFE99         0000058B         000000000020B0EA
0CD       FFFFFC01         00000663         000000000038C24A
0CE       FFFFFA39         00000A6D         00000000008E131A
0CF       FFFFF90C         000010BD         0000000001488419
0D0       FFFFF57D         00001BC0         0000000003708F09
0D1       FFFFEA26         000038D6         000000000E7BD088
0D2       FFFFCCAB         00008612         000000005081D37D
0D3       FFFF45B7         0001EBA9         0000000437CFDE62
0D4       FFEE8178         002EE5E7         000009C97A153EB1
