FBin        FFTr             FFTi             SpectraPower
177       FFFFFEAD         000000E2         000000000002886D
178       00000188         FFFFFE97         0000000000045551
179       FFFFFF5C         FFFFFFA3         0000000000008AD9
17A       FFFFFF95         000000E1         000000000000F27A
17B       0000011D         00000045         0000000000014FE2
17C       FFFFFFB2         FFFFFF02         00000000000113C8
17D       0000009A         00000089         000000000000A5F5
17E       FFFFFE7B         000000F0         0000000000033019
17F       000001D4         FFFFFE8C         0000000000057420
180       FFFFFFF8         000001B5         000000000002EA39
181       00000136         FFFFFDBC         0000000000069974
182       FFFFFE9D         000001E9         000000000005925A
183       000000ED         FFFFFFE2         000000000000DEED
184       FFFFFE72         FFFFFFDC         0000000000026FD4
185       00000122         FFFFFF27         0000000000020075
186       00000154         000001A5         00000000000477E9
187       FFFFFE9A         FFFFFF1A         000000000002C348
188       0000003E         FFFFFEF3         00000000000129AD
189       00000090         0000027E         0000000000068704
18A       FFFFFED2         FFFFFEE0         000000000002A844
18B       0000014E         00000091         00000000000205E5
18C       FFFFFF54         FFFFFE58         00000000000331D0
18D       FFFFFFF6         000000C2         0000000000009368
18E       00000021         0000002E         0000000000000C85
18F       00000101         000000B7         00000000000184D2
190       FFFFFF79         FFFFFED4         000000000001A6C1
191       00000173         00000167         000000000004111A
192       FFFFFDCB         FFFFFF7A         000000000005251D
193       000000AD         000000F4         0000000000015D79
194       FFFFFFED         FFFFFF46         000000000000888D
195       FFFFFF9D         0000003C         0000000000003459
196       00000109         FFFFFFCC         0000000000011CE1
197       FFFFFEBB         FFFFFF7B         000000000001E1B2
198       FFFFFFCE         FFFFFFE6         0000000000000C68
199       0000011D         0000009B         0000000000019B22
19A       FFFFFF27         FFFFFF14         0000000000019181
19B       0000008B         FFFFFF8B         00000000000080F2
19C       FFFFFF46         0000016F         0000000000029545
19D       0000007A         0000002E         0000000000004268
19E       00000172         00000006         00000000000216E8
19F       FFFFFF87         FFFFFF4C         000000000000B7C1
1A0       FFFFFF71         FFFFFFA7         0000000000006ED2
1A1       FFFFFF1F         000000B4         0000000000014451
1A2       FFFFFFBB         FFFFFEC4         00000000000198A9
1A3       FFFFFF3C         000000E8         0000000000016850
1A4       000001A1         FFFFFFE7         000000000002A9B2
1A5       FFFFFF4D         FFFFFF6D         000000000000D192
1A6       FFFFFF5A         000000C9         0000000000010975
1A7       000000D0         FFFFFFBF         000000000000B981
1A8       00000064         0000014F         000000000001DD71
1A9       00000052         FFFFFF4A         0000000000009BA8
1AA       FFFFFF0F         00000129         0000000000023B72
1AB       000001FE         FFFFFEF0         0000000000051904
1AC       FFFFFDF5         0000017D         0000000000066382
